Time,Value,Label
-52095.43924,76,0
-49886.20596,89,0
-49704.0694301,91,0
-48399.2040999,87,0
-48306.8199501,77,0
-47640.3199501,81,0
-47294.3189099,85,0
-46213.3212399,78,0
-45770.0680301,90,0
-45590.70698,91,0
-44462.45733,94,0
-44162.70362,82,0
-40038.70578,99,0
-39887.4486101,89,0
-39205.32743,95,0
-38805.3269,90,0
-37905.0924201,81,0
-37392.21457,89,0
-36989.5873899,78,0
-36438.2191401,63,0
-36068.95925,66,0
-35771.3313,95,0
-35325.09393,70,0
-33684.97102,83,0
-32913.9592099,79,0
-32624.3380499,82,0
-32403.84694,81,0
-31909.5822401,83,0
-31635.32968,99,0
-31402.08237,66,0
-30989.2075601,100,0
-30709.71227,97,0
-30586.5868399,88,0
-30301.9561701,91,0
-29881.34004,93,0
-29499.09623,97,0
-29422.20823,94,0
-27089.71066,78,0
-26897.2122099,93,0
-1838.3175199,95,0
-1836.3174901,97,0
-1808.3174901,111,0
-1802.3174901,113,0
-1801.3175199,113,0
-1787.3174901,102,0
-1786.3174901,102,0
-1653.54013991,73,0
-1645.54013991,73,0
-1639.54013991,60,0
-1638.54013991,60,0
-1628.62216997,58,0
-1626.62216997,57,0
-1622.62216997,58,0
-1613.62216997,65,0
-1608.62216997,65,0
-1602.62220001,65,0
-1601.62216997,65,0
-1595.62220001,67,0
-1586.62216997,71,0
-1584.62216997,72,0
-1579.62220001,71,0
-1570.62216997,68,0
-1569.62216997,68,0
-1563.62216997,68,0
-1554.62216997,68,0
-1553.62220001,68,0
-1546.62216997,68,0
-1543.62216997,68,0
-1537.62216997,69,0
-1531.62216997,69,0
-1527.62216997,69,0
-1521.62220001,68,0
-1516.62216997,68,0
-1511.62216997,67,0
-1504.62216997,67,0
-1500.62216997,67,0
-1495.62216997,68,0
-1490.62220001,68,0
-1485.62216997,65,0
-1480.62220001,63,0
-1475.62216997,64,0
-1466.62216997,68,0
-1464.62216997,68,0
-1459.62216997,65,0
-1450.62216997,65,0
-1447.62216997,65,0
-1441.62216997,68,0
-1431.62220001,65,0
-1429.62216997,64,0
-1424.62216997,62,0
-1415.62220001,64,0
-1413.62220001,64,0
-1408.62220001,64,0
-1403.62220001,65,0
-1398.62216997,65,0
-1393.62216997,65,0
-1388.57529998,65,0
-1375.57529998,64,0
-1358.57529998,64,0
-1336.6924901,65,0
-1329.6924901,65,0
-1327.6925199,65,0
-1319.6924901,69,0
-1315.65733004,69,0
-1309.65733004,64,0
-1304.65733004,60,0
-1303.65733004,60,0
-1296.65736008,59,0
-1293.65733004,58,0
-1286.65733004,58,0
-1274.78550005,62,0
-1272.78553009,62,0
-1265.78550005,62,0
-1261.78550005,64,0
-1256.78550005,64,0
-1251.78550005,64,0
-1245.78550005,63,0
-1240.78550005,62,0
-1235.78550005,63,0
-1226.78550005,63,0
-1222.78550005,62,0
-1219.78550005,62,0
-1211.78553009,61,0
-1207.78550005,61,0
-1201.78553009,61,0
-1198.78553009,60,0
-1193.78550005,60,0
-1184.75108004,61,0
-1179.75108004,60,0
-1175.75108004,56,0
-1170.75108004,54,0
-1168.75108004,54,0
-1163.75108004,54,0
-1152.89170003,54,0
-1146.89170003,54,0
-1138.89170003,54,0
-1135.89174008,54,0
-1130.89170003,54,0
-1125.89174008,54,0
-1120.89170003,57,0
-1115.89170003,58,0
-1110.89170003,58,0
-1100.89170003,58,0
-1099.89170003,58,0
-1094.89170003,59,0
-1089.89174008,59,0
-1084.89170003,59,0
-1078.89174008,59,0
-1073.89170003,57,0
-1068.89170003,57,0
-1062.89170003,57,0
-1056.89170003,56,0
-1046.89170003,52,0
-1045.89174008,52,0
-1040.89170003,51,0
-1035.89174008,51,0
-1028.89174008,51,0
-1022.89170003,54,0
-1019.89170003,55,0
-1014.89174008,57,0
-1009.89170003,57,0
-1003.89170003,57,0
-998.891700029,58,0
-933.973740101,68,0
-926.973769903,71,0
-924.973769903,72,0
-900.973740101,77,0
-890.938580036,82,0
-866.938580036,80,0
-864.938580036,80,0
-855.938580036,80,0
-849.938580036,80,0
-847.938610077,80,0
-838.079200029,80,0
-833.079200029,80,0
-832.079240084,80,0
-827.079200029,80,0
-818.079200029,80,0
-816.079240084,80,0
-803.044049978,80,0
-801.044049978,80,0
-788.044049978,74,0
-783.044080019,77,0
-776.044049978,74,0
-726.184669971,89,0
-721.14951992,87,0
-713.14951992,85,0
-711.14951992,85,0
-703.14951992,87,0
-702.14951992,87,0
-697.149549961,87,0
-684.14951992,87,0
-672.149549961,94,0
-670.14951992,94,0
-662.14951992,94,0
-629.14951992,94,0
-627.14951992,95,0
-593.14951992,63,0
-592.14951992,63,0
-584.14951992,63,0
-582.149549961,63,0
-575.14951992,64,0
-568.149549961,68,0
-562.149549961,71,0
-560.14951992,71,0
-551.277719975,58,0
-548.277689934,57,0
-540.277689934,57,0
-536.277689934,57,0
-530.277689934,56,0
-525.277689934,57,0
-520.277689934,57,0
-515.277689934,58,0
-512.277689934,58,0
-508.277689934,58,0
-499.277689934,58,0
-497.277719975,57,0
-491.277689934,56,0
-488.277719975,56,0
-483.277689934,56,0
-475.277689934,56,0
-472.277689934,56,0
-467.277689934,56,0
-462.277719975,56,0
-457.277719975,55,0
-452.277719975,55,0
-447.277689934,55,0
-441.277719975,57,0
-436.277689934,58,0
-431.277719975,59,0
-426.277719975,58,0
-421.277689934,59,0
-416.277689934,59,0
-411.277689934,59,0
-401.277689934,59,0
-400.277689934,59,0
-394.277689934,56,0
-389.277689934,59,0
-374.24326992,59,0
-368.24326992,60,0
-367.24326992,60,0
-358.24326992,60,0
-353.24326992,55,0
-350.24326992,55,0
-337.348740101,56,0
-336.348740101,55,0
-327.348740101,55,0
-321.348740101,55,0
-318.348740101,55,0
-315.348740101,55,0
-310.348769903,55,0
-305.348740101,55,0
-300.348769903,55,0
-290.348740101,59,0
-288.348769903,59,0
-220.520639896,56,0
-215.520639896,59,0
-205.520610094,59,0
-203.520639896,59,0
-199.520610094,59,0
-190.520610094,65,0
-189.520639896,65,0
-181.520610094,62,0
-179.520610094,64,0
-174.520610094,65,0
-168.520610094,65,0
-163.520610094,65,0
-154.520610094,67,0
-150.520610094,67,0
-148.520610094,67,0
-143.520639896,68,0
-138.520639896,68,0
-133.520610094,68,0
-127.520610094,68,0
-118.520610094,68,0
-113.520610094,72,0
-107.520610094,71,0
-102.520610094,69,0
-97.5206100941,65,0
-92.5206100941,63,0
-91.5206398964,62,0
-86.5206398964,61,0
-81.5206398964,60,0
-72.5206100941,61,0
-67.5206100941,60,0
-62.5206398964,61,0
-54.6143600941,55,0
-50.6143898964,53,0
-45.6143600941,54,0
-43.6143600941,54,0
-33.6143600941,56,0
-28.6143600941,56,0
-25.6143600941,56,0
-22.6143898964,56,0
-17.6143898964,56,0
-12.6143600941,51,0
-7.61436009407,50,0
-2.61438989639,50,0
6.38561010361,52,0
9.38561010361,52,0
13.3856399059,51,0
18.3856101036,52,0
23.3856101036,52,0
29.3856399059,54,0
33.3856399059,54,0
38.3856101036,53,0
43.3856399059,50,0
48.3856399059,49,0
53.3856399059,49,0
59.3856399059,50,0
64.3856399059,50,0
70.3856101036,52,0
78.3856399059,53,0
80.3856399059,54,0
86.3856399059,53,0
91.3856399059,54,0
96.3856399059,54,0
101.385610104,54,0
106.385639906,54,0
113.385639906,53,0
117.385639906,54,0
122.385639906,56,0
128.420799971,57,0
133.420799971,57,0
141.420799971,60,0
145.420759916,65,0
148.420799971,68,0
156.420759916,52,0
159.420799971,51,0
168.315330029,51,0
173.315330029,52,0
174.315330029,52,0
179.315330029,52,0
189.315299988,52,0
193.315299988,54,0
196.315299988,54,0
205.315330029,55,0
209.315299988,58,0
214.315330029,58,0
216.315330029,59,0
225.315330029,58,0
227.315330029,59,0
232.315330029,59,0
237.315330029,59,0
242.315330029,60,0
247.315330029,59,0
252.315330029,59,0
257.315330029,59,0
267.315330029,59,0
268.315299988,59,0
273.315299988,59,0
282.315330029,54,0
283.315330029,54,0
288.315330029,54,0
293.315330029,52,0
298.315330029,51,0
306.315330029,52,0
308.315330029,54,0
317.315299988,56,0
318.315330029,56,0
324.315330029,56,0
329.315330029,57,0
334.315330029,57,0
339.315330029,57,0
344.315330029,57,0
349.315330029,54,0
354.315299988,54,0
359.315299988,54,0
364.315330029,55,0
369.315330029,56,0
378.315299988,57,0
381.315330029,57,0
385.315299988,58,0
393.315330029,58,0
399.315330029,57,0
401.315299988,57,0
406.315330029,56,0
411.315299988,54,0
416.315330029,54,0
421.315330029,54,0
427.362200022,54,0
441.362200022,58,0
446.362169981,59,0
449.362200022,58,0
452.362200022,59,0
467.256700039,57,0
471.25673008,56,0
476.25673008,56,0
479.25673008,56,0
486.25673008,50,0
494.25673008,51,0
495.25673008,51,0
500.25673008,51,0
506.256700039,53,0
510.25673008,55,0
519.25673008,62,0
521.256700039,62,0
528.25673008,62,0
531.25673008,62,0
541.25673008,62,0
545.25673008,60,0
547.25673008,60,0
553.25673008,60,0
559.25673008,60,0
563.25673008,59,0
569.25673008,59,0
574.256700039,57,0
579.25673008,57,0
585.25673008,57,0
591.256700039,57,0
596.25673008,57,0
601.256700039,58,0
606.25673008,58,0
611.256700039,58,0
616.256700039,58,0
621.25673008,58,0
626.25673008,58,0
631.25673008,58,0
636.25673008,59,0
641.25673008,59,0
646.25673008,59,0
655.256700039,59,0
657.25673008,59,0
662.256700039,58,0
667.25673008,58,0
672.25673008,58,0
677.25673008,58,0
682.256700039,58,0
687.25673008,58,0
693.256700039,58,0
698.25673008,58,0
703.256700039,57,0
708.25673008,57,0
713.25673008,57,0
719.25673008,57,0
724.25673008,57,0
730.25673008,57,0
735.25673008,57,0
741.256700039,57,0
746.256700039,58,0
751.25673008,58,0
756.256700039,58,0
761.25673008,58,0
766.25673008,58,0
771.25673008,58,0
777.25673008,58,0
782.25673008,59,0
787.25673008,59,0
792.25673008,59,0
798.25673008,59,0
803.25673008,59,0
808.25673008,59,0
813.256700039,59,0
818.256700039,59,0
823.25673008,59,0
829.256700039,59,0
834.256700039,59,0
839.25673008,59,0
844.25673008,59,0
850.25673008,59,0
855.256700039,59,0
860.25673008,59,0
865.25673008,59,0
870.256700039,59,0
875.25673008,58,0
880.25673008,58,0
886.25673008,58,0
891.25673008,58,0
896.256700039,58,0
901.25673008,58,0
907.25673008,58,0
911.25673008,58,0
916.25673008,58,0
925.25673008,57,0
930.25673008,57,0
931.25673008,57,0
936.25673008,57,0
941.25673008,57,0
946.25673008,57,0
951.25673008,57,0
960.25673008,57,0
961.25673008,57,0
970.25673008,63,0
971.25673008,63,0
977.25673008,63,0
982.25673008,63,0
988.256700039,64,0
993.25673008,65,0
999.256700039,65,0
1004.25673008,69,0
1009.25673008,69,0
1015.25673008,69,0
1024.25673008,67,0
1025.25673008,68,0
1034.25673008,61,0
1035.25673008,61,0
1040.25673008,60,0
1045.25673008,60,0
1051.25673008,60,0
1057.25673008,60,0
1062.25670004,60,0
1067.25673008,60,0
1072.25673008,59,0
1078.25673008,59,0
1083.25673008,59,0
1089.25673008,59,0
1094.25673008,59,0
1100.25670004,59,0
1110.25673008,59,0
1112.25670004,59,0
1116.25673008,59,0
1121.25673008,59,0
1130.25673008,58,0
1132.25673008,58,0
1137.25673008,59,0
1142.25670004,59,0
1147.25673008,59,0
1152.25673008,59,0
1157.25673008,59,0
1162.25673008,59,0
1169.25673008,58,0
1172.25673008,58,0
1177.25673008,58,0
1183.25673008,58,0
1189.25673008,58,0
1195.25673008,58,0
1204.25673008,58,0
1205.25673008,58,0
1210.25670004,58,0
1215.25673008,58,0
1221.25673008,58,0
1226.25673008,57,0
1231.25670004,57,0
1240.25670004,57,0
1243.25673008,57,0
1246.25673008,57,0
1251.25673008,57,0
1256.25673008,57,0
1266.25673008,56,0
1269.25670004,56,0
1272.25673008,56,0
1278.25673008,56,0
1282.25673008,56,0
1291.25670004,55,0
1292.25670004,55,0
1298.25670004,55,0
1302.25673008,56,0
1307.25673008,56,0
1313.25673008,56,0
1321.25673008,56,0
1325.25673008,57,0
1330.25673008,56,0
1338.25673008,60,0
1341.25673008,61,0
1345.25673008,61,0
1350.25673008,60,0
1357.25670004,57,0
1360.25673008,56,0
1365.25670004,55,0
1370.25670004,55,0
1379.25673008,55,0
1381.25673008,55,0
1389.25673008,57,0
1390.25673008,57,0
1395.25670004,56,0
1400.25673008,56,0
1405.25673008,56,0
1413.25673008,54,0
1415.25670004,54,0
1420.25673008,53,0
1425.25670004,53,0
1430.25673008,53,0
1435.25673008,53,0
1440.25673008,53,0
1446.25670004,53,0
1451.25673008,54,0
1456.25673008,54,0
1461.25673008,53,0
1468.25673008,53,0
1471.25673008,53,0
1480.25673008,53,0
1485.25673008,53,0
1486.25673008,53,0
1491.25673008,53,0
1497.25673008,53,0
1502.25673008,53,0
1508.25670004,58,0
1513.25673008,59,0
1520.25670004,58,0
1523.25670004,57,0
1529.25673008,54,0
1536.25670004,52,0
1538.25673008,53,0
1543.25670004,53,0
1551.25673008,53,0
1553.25673008,53,0
1558.25670004,53,0
1563.25670004,53,0
1568.25673008,53,0
1573.25673008,53,0
1582.25673008,54,0
1586.25673008,57,0
1592.25673008,53,0
1593.25673008,53,0
1598.25673008,53,0
1605.25673008,52,0
1609.25673008,52,0
1614.25673008,51,0
1622.25673008,52,0
1625.25673008,52,0
1634.25670004,51,0
1637.25673008,51,0
1641.25673008,52,0
1647.25673008,52,0
1652.25670004,53,0
1657.25670004,54,0
1662.25673008,55,0
1667.25670004,61,0
1672.25673008,56,0
1677.25673008,56,0
1683.25673008,55,0
1689.25670004,54,0
1694.25673008,54,0
1701.25673008,55,0
1704.25670004,55,0
1709.25673008,54,0
1714.25670004,55,0
1720.25520992,55,0
1728.25523996,54,0
1732.25523996,51,0
1734.25523996,52,0
1744.25523996,53,0
1745.25523996,53,0
1750.25523996,53,0
1756.25520992,54,0
1761.25523996,54,0
1770.25523996,54,0
1773.25523996,54,0
1777.25520992,54,0
1782.25520992,53,0
1787.25520992,53,0
1792.25523996,54,0
1799.25523996,55,0
1806.25520992,55,0
1808.25520992,58,0
1813.25523996,57,0
1819.25523996,58,0
1823.25523996,57,0
1832.25523996,57,0
1837.25523996,56,0
1838.25520992,56,0
1843.25523996,55,0
1848.25520992,55,0
1853.25520992,55,0
1858.25523996,55,0
1869.25523996,56,0
1871.25523996,56,0
1875.25523996,59,0
1880.25523996,60,0
1887.25523996,60,0
1890.25523996,59,0
1896.25520992,59,0
1901.25523996,59,0
1910.25523996,56,0
1912.25520992,56,0
1920.25523996,56,0
1921.25523996,55,0
1927.25523996,55,0
1934.25523996,55,0
1937.25523996,56,0
1942.25523996,58,0
1947.25520992,59,0
1952.25520992,59,0
1960.25523996,57,0
1962.25523996,57,0
1967.25523996,59,0
1972.25523996,59,0
1977.25520992,60,0
1982.25523996,59,0
1987.25523996,60,0
1993.25520992,61,0
2002.25523996,54,0
2004.25523996,53,0
2009.25523996,53,0
2014.25523996,53,0
2019.25523996,53,0
2025.25523996,58,0
2035.25523996,58,0
2036.25523996,58,0
2041.25523996,59,0
2046.25520992,60,0
2051.25523996,60,0
2056.25523996,61,0
2061.25520992,60,0
2066.25520992,59,0
2073.25523996,58,0
2077.25523996,58,0
2082.25523996,56,0
2087.25523996,56,0
2092.25523996,56,0
2100.25523996,56,0
2103.25523996,56,0
2108.25520992,56,0
2113.25520992,58,0
2118.25523996,59,0
2123.25523996,59,0
2128.25520992,59,0
2133.25523996,59,0
2139.25523996,59,0
2145.25520992,58,0
2150.25520992,59,0
2155.25523996,59,0
2160.25523996,60,0
2165.25520992,59,0
2170.25523996,57,0
2175.25523996,58,0
2181.25520992,58,0
2186.25523996,59,0
2193.25523996,55,0
2196.25523996,55,0
2205.25523996,59,0
2211.25523996,59,0
2214.25523996,59,0
2217.25520992,59,0
2222.25523996,60,0
2227.25523996,60,0
2234.25520992,60,0
2242.25523996,60,0
2243.25523996,60,0
2248.25523996,59,0
2253.25523996,59,0
2261.25523996,59,0
2263.25520992,59,0
2268.25523996,60,0
2273.25523996,60,0
2278.25523996,60,0
2283.25520992,60,0
2288.25523996,59,0
2293.25520992,56,0
2298.25523996,56,0
2304.25523996,55,0
2310.25523996,56,0
2316.25523996,59,0
2321.25523996,59,0
2326.25523996,58,0
2331.25523996,58,0
2337.25520992,58,0
2342.25520992,58,0
2347.25523996,58,0
2352.25523996,58,0
2357.25523996,58,0
2362.25523996,58,0
2368.25523996,58,0
2373.25523996,58,0
2378.25523996,58,0
2384.25523996,59,0
2389.25520992,58,0
2394.25520992,59,0
2399.25520992,59,0
2404.25520992,59,0
2409.25523996,59,0
2414.25523996,59,0
2419.25523996,59,0
2424.25523996,59,0
2429.25520992,59,0
2434.25523996,59,0
2440.25523996,59,0
2445.25523996,59,0
2450.25523996,59,0
2458.25523996,55,0
2461.25523996,55,0
2470.25520992,59,0
2472.25523996,60,0
2478.25523996,59,0
2482.25523996,59,0
2487.25523996,58,0
2492.25520992,58,0
2497.25523996,58,0
2502.25523996,58,0
2508.25523996,58,0
2513.25520992,61,0
2518.25520992,61,0
2523.25523996,60,0
2528.25523996,59,0
2533.25520992,59,0
2538.25520992,59,0
2543.25520992,59,0
2548.25523996,59,0
2553.25523996,62,0
2558.25520992,61,0
2563.25523996,61,0
2568.25523996,61,0
2574.25523996,60,0
2579.25523996,60,0
2584.25520992,60,0
2589.25520992,60,0
2594.25523996,60,0
2599.25523996,59,0
2604.25523996,59,0
2610.25523996,59,0
2616.25520992,59,0
2621.25523996,59,0
2626.25523996,58,0
2632.25520992,58,0
2637.25523996,58,0
2642.25520992,58,0
2647.25523996,58,0
2652.25523996,58,0
2657.25523996,58,0
2662.25523996,58,0
2667.25523996,58,0
2672.25523996,59,0
2677.25523996,58,0
2682.25523996,60,0
2687.25523996,60,0
2693.25523996,61,0
2699.25523996,60,0
2705.25523996,60,0
2711.25523996,60,0
2719.25520992,59,0
2721.25523996,59,0
2727.25523996,60,0
2732.25523996,59,0
2737.25523996,60,0
2742.25520992,59,0
2747.25520992,59,0
2752.25523996,59,0
2757.25523996,59,0
2762.25523996,60,0
2768.25523996,59,0
2776.25523996,57,0
2779.25523996,58,0
2784.25523996,58,0
2789.25523996,59,0
2796.25523996,58,0
2799.25523996,56,0
2804.25523996,56,0
2813.25523996,56,0
2814.25520992,56,0
2819.25523996,56,0
2825.25523996,56,0
2831.25520992,56,0
2836.25520992,56,0
2841.25523996,56,0
2849.25523996,57,0
2854.25523996,59,0
2856.25523996,59,0
2861.25523996,59,0
2866.25523996,59,0
2872.25520992,59,0
2877.25523996,60,0
2883.25523996,59,0
2888.25523996,59,0
2893.25523996,58,0
2899.25520992,57,0
2904.25523996,58,0
2909.25520992,59,0
2916.25523996,59,0
2919.25523996,59,0
2925.25523996,60,0
2931.25523996,59,0
2936.25523996,59,0
2941.25523996,59,0
2946.25523996,60,0
2952.25523996,59,0
2958.25523996,59,0
2964.25523996,59,0
2969.25523996,61,0
2975.25523996,61,0
2980.25523996,63,0
2986.25523996,63,0
2995.25523996,58,0
2997.25523996,57,0
3003.25523996,57,0
3008.25523996,56,0
3015.25523996,57,0
3019.25523996,61,0
3024.25523996,61,0
3030.25523996,61,0
3035.25520992,61,0
3040.25523996,59,0
3045.25523996,59,0
3051.25523996,57,0
3056.25520992,61,0
3061.25523996,61,0
3071.25523996,61,0
3072.25520992,61,0
3077.25523996,61,0
3083.25520992,61,0
3088.25520992,61,0
3095.25523996,61,0
3098.25523996,61,0
3107.25523996,61,0
3110.25523996,60,0
3115.25523996,61,0
3121.25523996,59,0
3127.25523996,61,0
3132.25523996,61,0
3141.25523996,58,0
3143.25520992,58,0
3147.25520992,57,0
3152.25523996,57,0
3158.25520992,57,0
3163.25523996,56,0
3170.25523996,56,0
3173.25523996,59,0
3179.25520992,58,0
3184.25523996,59,0
3190.25523996,57,0
3195.25523996,57,0
3200.25523996,58,0
3205.25523996,59,0
3210.25523996,58,0
3215.25523996,58,0
3220.25523996,58,0
3225.25523996,59,0
3230.25523996,59,0
3235.25523996,59,0
3240.25523996,60,0
3246.25523996,59,0
3251.25523996,59,0
3256.25523996,59,0
3261.25523996,60,0
3266.25523996,60,0
3272.25523996,60,0
3277.25523996,59,0
3284.25523996,56,0
3287.25523996,56,0
3293.25523996,57,0
3298.25523996,58,0
3304.25523996,61,0
3309.25523996,61,0
3318.25523996,58,0
3319.25520992,58,0
3324.25523996,57,0
3329.25520992,57,0
3334.29039001,57,0
3340.29039001,57,0
3347.29039001,92,0
3353.29039001,95,0
3358.29039001,96,0
3363.29035997,94,0
3364.29035997,92,0
3375.17320991,82,0
3377.17320991,82,0
3381.17320991,82,0
3386.1731801,82,0
3401.20835996,83,0
3406.20835996,92,0
3412.20835996,91,0
3413.20835996,91,0
3418.20832992,92,0
3424.20835996,91,0
3430.20835996,83,0
3439.1263299,78,0
3444.1263299,67,0
3447.1263299,68,0
3450.1263299,69,0
3459.1263299,68,0
3464.16148996,55,0
3469.16148996,53,0
3473.16145992,54,0
3479.16148996,53,0
3480.16145992,53,0
3489.16148996,53,0
3492.16148996,53,0
3504.0325501,56,0
3506.0325799,57,0
3514.0325799,60,0
3519.0325799,61,0
3524.0325799,60,0
3527.0325799,60,0
3534.0325501,59,0
3541.0325501,56,0
3545.0325799,56,0
3548.0325799,55,0
3559.0325799,55,0
3563.0325799,55,0
3565.0325501,55,0
3570.0325501,59,0
3577.0325799,56,0
3581.0325799,53,0
3589.0325799,54,0
3594.0325799,53,0
3596.0325501,52,0
3600.0325501,52,0
3609.0325799,52,0
3611.0325799,51,0
3616.0325799,51,0
3620.0325501,52,0
3625.0325799,52,0
3634.0325799,52,0
3635.0325799,52,0
3641.0325799,52,0
3647.0325799,52,0
3652.0325799,52,0
3661.0325799,50,0
3663.0325799,50,0
